date,product,units_sold,price,stock_level
2024-12-31,Wireless Earbuds,49,1507.28,3430
2025-01-01,Wireless Earbuds,37,1500.63,3393
2025-01-02,Wireless Earbuds,40,1520.04,3353
2025-01-03,Wireless Earbuds,43,1505.87,3310
2025-01-04,Wireless Earbuds,48,1493.62,3262
2025-01-05,Wireless Earbuds,50,1487.2,3212
2025-01-06,Wireless Earbuds,38,1334.34,3174
2025-01-07,Wireless Earbuds,41,1261.87,3133
2025-01-08,Wireless Earbuds,63,1153.15,3070
2025-01-09,Wireless Earbuds,47,1504.93,3023
2025-01-10,Wireless Earbuds,49,1496.93,2974
2025-01-11,Wireless Earbuds,44,1473.89,3930
2025-01-12,Wireless Earbuds,46,1472.37,3884
2025-01-13,Wireless Earbuds,30,1550.59,3854
2025-01-14,Wireless Earbuds,53,1161.22,3801
2025-01-15,Wireless Earbuds,46,1353.14,3755
2025-01-16,Wireless Earbuds,38,1466.93,3717
2025-01-17,Wireless Earbuds,43,1493.33,3674
2025-01-18,Wireless Earbuds,43,1538.59,3631
2025-01-19,Wireless Earbuds,43,1531.0,3588
2025-01-20,Wireless Earbuds,39,1510.49,3549
2025-01-21,Wireless Earbuds,50,1557.49,3499
2025-01-22,Wireless Earbuds,47,1503.8,3452
2025-01-23,Wireless Earbuds,40,1508.99,3412
2025-01-24,Wireless Earbuds,33,1474.02,3379
2025-01-25,Wireless Earbuds,46,1465.5,4333
2025-01-26,Wireless Earbuds,51,1557.08,4282
2025-01-27,Wireless Earbuds,38,1509.42,4244
2025-01-28,Wireless Earbuds,44,1504.56,4200
2025-01-29,Wireless Earbuds,33,1530.89,4167
2025-01-30,Wireless Earbuds,39,1576.88,4128
2025-01-31,Wireless Earbuds,44,1501.74,4084
2025-02-01,Wireless Earbuds,43,1493.89,4041
2025-02-02,Wireless Earbuds,53,1473.47,3988
2025-02-03,Wireless Earbuds,39,1509.99,3949
2025-02-04,Wireless Earbuds,47,1489.75,3902
2025-02-05,Wireless Earbuds,30,1488.94,3872
2025-02-06,Wireless Earbuds,45,1539.89,3827
2025-02-07,Wireless Earbuds,26,1453.95,3801
2025-02-08,Wireless Earbuds,46,1571.56,4755
2025-02-09,Wireless Earbuds,37,1512.94,4718
2025-02-10,Wireless Earbuds,41,1501.98,4677
2025-02-11,Wireless Earbuds,45,1509.33,4632
2025-02-12,Wireless Earbuds,50,1525.92,4582
2025-02-13,Wireless Earbuds,51,1472.39,4531
2025-02-14,Wireless Earbuds,37,1541.09,4494
2025-02-15,Wireless Earbuds,49,1502.94,4445
2025-02-16,Wireless Earbuds,43,1488.15,4402
2025-02-17,Wireless Earbuds,31,1512.56,4371
2025-02-18,Wireless Earbuds,49,1482.85,4322
2025-02-19,Wireless Earbuds,33,1475.42,4289
2025-02-20,Wireless Earbuds,40,1506.43,4249
2025-02-21,Wireless Earbuds,43,1494.23,4206
2025-02-22,Wireless Earbuds,51,1520.19,5155
2025-02-23,Wireless Earbuds,49,1515.68,5106
2025-02-24,Wireless Earbuds,40,1496.39,5066
2025-02-25,Wireless Earbuds,36,1468.05,5030
2025-02-26,Wireless Earbuds,37,1483.6,4993
2025-02-27,Wireless Earbuds,41,1509.02,4952
2025-02-28,Wireless Earbuds,45,1525.99,4907
2025-03-01,Wireless Earbuds,69,1232.02,4838
2025-03-02,Wireless Earbuds,63,1308.43,4775
2025-03-03,Wireless Earbuds,55,1184.89,4720
2025-03-04,Wireless Earbuds,54,1274.92,4666
2025-03-05,Wireless Earbuds,27,1509.9,4639
2025-03-06,Wireless Earbuds,36,1490.19,4603
2025-03-07,Wireless Earbuds,32,1558.88,4571
2025-03-08,Wireless Earbuds,57,1506.06,5514
2025-03-09,Wireless Earbuds,59,1506.47,5455
2025-03-10,Wireless Earbuds,33,1486.29,5422
2025-03-11,Wireless Earbuds,73,1115.76,5349
2025-03-12,Wireless Earbuds,58,1211.95,5291
2025-03-13,Wireless Earbuds,54,1255.41,5237
2025-03-14,Wireless Earbuds,67,1176.74,5170
2025-03-15,Wireless Earbuds,54,1448.47,5116
2025-03-16,Wireless Earbuds,39,1506.05,5077
2025-03-17,Wireless Earbuds,35,1474.82,5042
2025-03-18,Wireless Earbuds,38,1506.24,5004
2025-03-19,Wireless Earbuds,43,1485.79,4961
2025-03-20,Wireless Earbuds,46,1480.42,4915
2025-03-21,Wireless Earbuds,51,1486.66,4864
2025-03-22,Wireless Earbuds,62,1426.66,5802
2025-03-23,Wireless Earbuds,37,1486.85,5765
2025-03-24,Wireless Earbuds,41,1490.42,5724
2025-03-25,Wireless Earbuds,44,1516.38,5680
2025-03-26,Wireless Earbuds,53,1519.96,5627
2025-03-27,Wireless Earbuds,42,1488.89,5585
2025-03-28,Wireless Earbuds,46,1447.11,5539
2025-03-29,Wireless Earbuds,44,1554.4,5495
2025-03-30,Wireless Earbuds,54,1465.91,5441
2025-03-31,Wireless Earbuds,71,1185.45,5370
2025-04-01,Wireless Earbuds,70,1126.08,5300
2025-04-02,Wireless Earbuds,57,1261.93,5243
2025-04-03,Wireless Earbuds,63,1232.42,5180
2025-04-04,Wireless Earbuds,70,1169.83,5110
2025-04-05,Wireless Earbuds,44,1507.17,6066
2025-04-06,Wireless Earbuds,49,1524.06,6017
2025-04-07,Wireless Earbuds,44,1510.55,5973
2025-04-08,Wireless Earbuds,47,1494.0,5926
2025-04-09,Wireless Earbuds,37,1536.53,5889
2025-04-10,Wireless Earbuds,40,1483.98,5849
2025-04-11,Wireless Earbuds,50,1522.71,5799
2025-04-12,Wireless Earbuds,51,1486.27,5748
2025-04-13,Wireless Earbuds,33,1527.54,5715
2025-04-14,Wireless Earbuds,29,1475.54,5686
2025-04-15,Wireless Earbuds,55,1273.68,5631
2025-04-16,Wireless Earbuds,66,1236.61,5565
2025-04-17,Wireless Earbuds,59,1277.13,5506
2025-04-18,Wireless Earbuds,58,1249.86,5448
2025-04-19,Wireless Earbuds,75,1171.32,6373
2025-04-20,Wireless Earbuds,41,1492.68,6332
2025-04-21,Wireless Earbuds,39,1519.56,6293
2025-04-22,Wireless Earbuds,49,1496.12,6244
2025-04-23,Wireless Earbuds,39,1454.13,6205
2025-04-24,Wireless Earbuds,46,1507.47,6159
2025-04-25,Wireless Earbuds,66,1162.48,6093
2025-04-26,Wireless Earbuds,61,1332.49,6032
2025-04-27,Wireless Earbuds,66,1310.89,5966
2025-04-28,Wireless Earbuds,31,1450.44,5935
2025-04-29,Wireless Earbuds,34,1534.61,5901
2025-04-30,Wireless Earbuds,47,1501.97,5854
2025-05-01,Wireless Earbuds,39,1514.48,5815
2025-05-02,Wireless Earbuds,40,1499.34,5775
2025-05-03,Wireless Earbuds,55,1560.42,6720
2025-05-04,Wireless Earbuds,55,1471.39,6665
2025-05-05,Wireless Earbuds,49,1512.27,6616
2025-05-06,Wireless Earbuds,44,1521.19,6572
2025-05-07,Wireless Earbuds,45,1314.08,6527
2025-05-08,Wireless Earbuds,68,1222.82,6459
2025-05-09,Wireless Earbuds,60,1221.78,6399
2025-05-10,Wireless Earbuds,74,1198.1,6325
2025-05-11,Wireless Earbuds,40,1500.81,6285
2025-05-12,Wireless Earbuds,75,1124.01,6210
2025-05-13,Wireless Earbuds,67,1147.6,6143
2025-05-14,Wireless Earbuds,61,1204.38,6082
2025-05-15,Wireless Earbuds,35,1476.63,6047
2025-05-16,Wireless Earbuds,30,1510.73,6017
2025-05-17,Wireless Earbuds,74,1177.02,6943
2025-05-18,Wireless Earbuds,73,1203.94,6870
2025-05-19,Wireless Earbuds,49,1510.37,6821
2025-05-20,Wireless Earbuds,34,1495.04,6787
2025-05-21,Wireless Earbuds,40,1505.51,6747
2025-05-22,Wireless Earbuds,38,1506.58,6709
2025-05-23,Wireless Earbuds,38,1508.34,6671
2025-05-24,Wireless Earbuds,40,1507.19,6631
2025-05-25,Wireless Earbuds,38,1542.1,6593
2025-05-26,Wireless Earbuds,44,1443.18,6549
2025-05-27,Wireless Earbuds,49,1495.47,6500
2025-05-28,Wireless Earbuds,50,1510.87,6450
2025-05-29,Wireless Earbuds,37,1487.61,6413
2025-05-30,Wireless Earbuds,50,1489.22,6363
2025-05-31,Wireless Earbuds,59,1488.93,7304
2025-06-01,Wireless Earbuds,44,1551.58,7260
2025-06-02,Wireless Earbuds,60,1509.96,7200
2025-06-03,Wireless Earbuds,48,1477.8,7152
2025-06-04,Wireless Earbuds,47,1484.32,7105
2025-06-05,Wireless Earbuds,41,1507.35,7064
2025-06-06,Wireless Earbuds,29,1511.74,7035
2025-06-07,Wireless Earbuds,40,1469.56,6995
2025-06-08,Wireless Earbuds,43,1501.52,6952
2025-06-09,Wireless Earbuds,40,1458.76,6912
2025-06-10,Wireless Earbuds,42,1497.6,6870
2025-06-11,Wireless Earbuds,40,1520.71,6830
2025-06-12,Wireless Earbuds,44,1440.28,6786
2025-06-13,Wireless Earbuds,41,1495.9,6745
2025-06-14,Wireless Earbuds,38,1527.41,7707
2025-06-15,Wireless Earbuds,50,1466.22,7657
2025-06-16,Wireless Earbuds,26,1486.07,7631
2025-06-17,Wireless Earbuds,38,1474.03,7593
2025-06-18,Wireless Earbuds,39,1500.16,7554
2025-06-19,Wireless Earbuds,36,1478.73,7518
2025-06-20,Wireless Earbuds,45,1452.96,7473
2025-06-21,Wireless Earbuds,56,1494.58,7417
2025-06-22,Wireless Earbuds,42,1560.77,7375
2025-06-23,Wireless Earbuds,34,1501.1,7341
2025-06-24,Wireless Earbuds,43,1510.9,7298
2025-06-25,Wireless Earbuds,46,1528.6,7252
2025-06-26,Wireless Earbuds,45,1470.13,7207
2025-06-27,Wireless Earbuds,41,1442.61,7166
2025-06-28,Wireless Earbuds,43,1502.57,8123
2025-06-29,Wireless Earbuds,42,1555.43,8081
2025-06-30,Wireless Earbuds,41,1492.04,8040
2025-07-01,Wireless Earbuds,46,1512.44,7994
2025-07-02,Wireless Earbuds,43,1508.28,7951
2025-07-03,Wireless Earbuds,46,1496.37,7905
2025-07-04,Wireless Earbuds,45,1505.34,7860
2025-07-05,Wireless Earbuds,46,1534.99,7814
2025-07-06,Wireless Earbuds,28,1509.07,7786
2025-07-07,Wireless Earbuds,35,1389.62,7751
2025-07-08,Wireless Earbuds,32,1513.32,7719
2025-07-09,Wireless Earbuds,73,1202.55,7646
2025-07-10,Wireless Earbuds,72,1170.61,7574
2025-07-11,Wireless Earbuds,54,1253.9,7520
2025-07-12,Wireless Earbuds,75,1124.94,8445
2025-07-13,Wireless Earbuds,52,1476.75,8393
2025-07-14,Wireless Earbuds,39,1490.52,8354
2025-07-15,Wireless Earbuds,33,1517.49,8321
2025-07-16,Wireless Earbuds,36,1532.12,8285
2025-07-17,Wireless Earbuds,42,1512.31,8243
2025-07-18,Wireless Earbuds,44,1505.88,8199
2025-07-19,Wireless Earbuds,36,1517.95,8163
2025-07-20,Wireless Earbuds,43,1489.93,8120
2025-07-21,Wireless Earbuds,48,1543.35,8072
2025-07-22,Wireless Earbuds,42,1495.71,8030
2025-07-23,Wireless Earbuds,40,1502.63,7990
2025-07-24,Wireless Earbuds,35,1497.22,7955
2025-07-25,Wireless Earbuds,38,1518.0,7917
2025-07-26,Wireless Earbuds,42,1519.09,8875
2025-07-27,Wireless Earbuds,37,1510.36,8838
2025-07-28,Wireless Earbuds,30,1483.99,8808
2025-07-29,Wireless Earbuds,41,1468.39,8767
2025-07-30,Wireless Earbuds,43,1488.9,8724
2025-07-31,Wireless Earbuds,41,1508.48,8683
2025-08-01,Wireless Earbuds,40,1435.8,8643
2025-08-02,Wireless Earbuds,45,1500.08,8598
2025-08-03,Wireless Earbuds,44,1534.61,8554
2025-08-04,Wireless Earbuds,35,1513.55,8519
2025-08-05,Wireless Earbuds,34,1528.56,8485
2025-08-06,Wireless Earbuds,32,1519.31,8453
2025-08-07,Wireless Earbuds,38,1519.94,8415
2025-08-08,Wireless Earbuds,37,1473.24,8378
2025-08-09,Wireless Earbuds,49,1470.35,9329
2025-08-10,Wireless Earbuds,46,1492.88,9283
2025-08-11,Wireless Earbuds,50,1457.71,9233
2025-08-12,Wireless Earbuds,39,1511.33,9194
2025-08-13,Wireless Earbuds,48,1494.39,9146
2025-08-14,Wireless Earbuds,33,1532.94,9113
2025-08-15,Wireless Earbuds,60,1170.97,9053
2025-08-16,Wireless Earbuds,55,1317.87,8998
2025-08-17,Wireless Earbuds,42,1451.25,8956
2025-08-18,Wireless Earbuds,54,1538.54,8902
2025-08-19,Wireless Earbuds,38,1542.03,8864
2025-08-20,Wireless Earbuds,38,1511.97,8826
2025-08-21,Wireless Earbuds,31,1486.76,8795
2025-08-22,Wireless Earbuds,36,1518.58,8759
2025-08-23,Wireless Earbuds,49,1499.25,9710
2025-08-24,Wireless Earbuds,53,1479.33,9657
2025-08-25,Wireless Earbuds,44,1513.83,9613
2025-08-26,Wireless Earbuds,41,1532.88,9572
2025-08-27,Wireless Earbuds,55,1282.85,9517
2025-08-28,Wireless Earbuds,71,1132.87,9446
2025-08-29,Wireless Earbuds,55,1200.57,9391
2025-08-30,Wireless Earbuds,44,1464.46,9347
2025-08-31,Wireless Earbuds,51,1501.37,9296
2025-09-01,Wireless Earbuds,32,1509.55,9264
2025-09-02,Wireless Earbuds,60,1157.31,9204
2025-09-03,Wireless Earbuds,60,1157.73,9144
2025-09-04,Wireless Earbuds,26,1491.69,9118
2025-09-05,Wireless Earbuds,34,1491.11,9084
2025-09-06,Wireless Earbuds,52,1494.06,10032
2025-09-07,Wireless Earbuds,43,1500.12,9989
2025-09-08,Wireless Earbuds,22,1550.53,9967
2025-09-09,Wireless Earbuds,39,1482.72,9928
2025-09-10,Wireless Earbuds,35,1513.18,9893
2025-09-11,Wireless Earbuds,38,1529.89,9855
2025-09-12,Wireless Earbuds,34,1507.17,9821
2025-09-13,Wireless Earbuds,44,1502.32,9777
2025-09-14,Wireless Earbuds,39,1425.52,9738
2025-09-15,Wireless Earbuds,37,1488.11,9701
2025-09-16,Wireless Earbuds,34,1469.46,9667
2025-09-17,Wireless Earbuds,33,1553.02,9634
2025-09-18,Wireless Earbuds,55,1211.28,9579
2025-09-19,Wireless Earbuds,51,1155.16,9528
2025-09-20,Wireless Earbuds,46,1476.16,10482
2025-09-21,Wireless Earbuds,35,1511.52,10447
2025-09-22,Wireless Earbuds,43,1475.01,10404
2025-09-23,Wireless Earbuds,61,1196.17,10343
2025-09-24,Wireless Earbuds,60,1239.92,10283
2025-09-25,Wireless Earbuds,43,1491.31,10240
2025-09-26,Wireless Earbuds,28,1557.78,10212
2025-09-27,Wireless Earbuds,35,1543.52,10177
2025-09-28,Wireless Earbuds,47,1484.42,10130
2025-09-29,Wireless Earbuds,35,1479.5,10095
2025-09-30,Wireless Earbuds,53,1472.63,10042
2025-10-01,Wireless Earbuds,41,1525.59,10001
2025-10-02,Wireless Earbuds,31,1477.61,9970
2025-10-03,Wireless Earbuds,35,1444.72,9935
2025-10-04,Wireless Earbuds,50,1538.72,10885
2025-10-05,Wireless Earbuds,56,1511.32,10829
2025-10-06,Wireless Earbuds,56,1289.64,10773
2025-10-07,Wireless Earbuds,67,1180.9,10706
2025-10-08,Wireless Earbuds,40,1465.34,10666
2025-10-09,Wireless Earbuds,50,1430.5,10616
2025-10-10,Wireless Earbuds,47,1475.24,10569
2025-10-11,Wireless Earbuds,61,1517.53,10508
2025-10-12,Wireless Earbuds,65,1468.98,10443
2025-10-13,Wireless Earbuds,44,1530.33,10399
2025-10-14,Wireless Earbuds,48,1444.81,10351
2025-10-15,Wireless Earbuds,53,1528.0,10298
2025-10-16,Wireless Earbuds,41,1508.05,10257
2025-10-17,Wireless Earbuds,44,1522.22,10213
2025-10-18,Wireless Earbuds,59,1484.54,11154
2025-10-19,Wireless Earbuds,48,1522.86,11106
2025-10-20,Wireless Earbuds,41,1495.54,11065
2025-10-21,Wireless Earbuds,48,1518.49,11017
2025-10-22,Wireless Earbuds,72,1132.8,10945
2025-10-23,Wireless Earbuds,66,1341.06,10879
2025-10-24,Wireless Earbuds,62,1352.9,10817
2025-10-25,Wireless Earbuds,85,1183.76,10732
2025-10-26,Wireless Earbuds,54,1500.81,10678
2025-10-27,Wireless Earbuds,58,1498.3,10620
2025-10-28,Wireless Earbuds,43,1504.09,10577
2025-10-29,Wireless Earbuds,51,1435.17,10526
2025-10-30,Wireless Earbuds,45,1451.76,10481
2025-10-31,Wireless Earbuds,48,1470.06,10433
2025-11-01,Wireless Earbuds,69,1422.67,11364
2025-11-02,Wireless Earbuds,45,1491.47,11319
2025-11-03,Wireless Earbuds,33,1535.96,11286
2025-11-04,Wireless Earbuds,59,1463.62,11227
2025-11-05,Wireless Earbuds,54,1511.11,11173
2025-11-06,Wireless Earbuds,54,1492.92,11119
2025-11-07,Wireless Earbuds,45,1534.69,11074
2025-11-08,Wireless Earbuds,50,1498.33,11024
2025-11-09,Wireless Earbuds,73,1255.5,10951
2025-11-10,Wireless Earbuds,56,1303.49,10895
2025-11-11,Wireless Earbuds,91,1111.67,10804
2025-11-12,Wireless Earbuds,88,1139.31,10716
2025-11-13,Wireless Earbuds,80,1168.34,10636
2025-11-14,Wireless Earbuds,56,1475.08,10580
2025-11-15,Wireless Earbuds,105,1110.13,11475
2025-11-16,Wireless Earbuds,81,1262.48,11394
2025-11-17,Wireless Earbuds,56,1491.42,11338
2025-11-18,Wireless Earbuds,63,1509.57,11275
2025-11-19,Wireless Earbuds,50,1487.72,11225
2025-11-20,Wireless Earbuds,50,1491.39,11175
2025-11-21,Wireless Earbuds,72,1234.91,11103
2025-11-22,Wireless Earbuds,106,1140.8,10997
2025-11-23,Wireless Earbuds,78,1219.59,10919
2025-11-24,Wireless Earbuds,71,1178.97,10848
2025-11-25,Wireless Earbuds,55,1498.27,10793
2025-11-26,Wireless Earbuds,54,1504.31,10739
2025-11-27,Wireless Earbuds,33,1535.76,10706
2025-11-28,Wireless Earbuds,42,1494.06,10664
2025-11-29,Wireless Earbuds,51,1536.44,11613
2025-11-30,Wireless Earbuds,59,1471.54,11554
2025-12-01,Wireless Earbuds,60,1482.73,11494
2025-12-02,Wireless Earbuds,57,1554.83,11437
2025-12-03,Wireless Earbuds,47,1516.25,11390
2025-12-04,Wireless Earbuds,56,1489.29,11334
2025-12-05,Wireless Earbuds,94,1159.83,11240
2025-12-06,Wireless Earbuds,81,1303.48,11159
2025-12-07,Wireless Earbuds,51,1565.85,11108
2025-12-08,Wireless Earbuds,49,1540.01,11059
2025-12-09,Wireless Earbuds,61,1528.84,10998
2025-12-10,Wireless Earbuds,56,1492.49,10942
2025-12-11,Wireless Earbuds,55,1541.01,10887
2025-12-12,Wireless Earbuds,61,1523.72,10826
2025-12-13,Wireless Earbuds,62,1521.35,11764
2025-12-14,Wireless Earbuds,58,1472.97,11706
2025-12-15,Wireless Earbuds,55,1496.5,11651
2025-12-16,Wireless Earbuds,67,1461.61,11584
2025-12-17,Wireless Earbuds,48,1509.81,11536
2025-12-18,Wireless Earbuds,59,1494.68,11477
2025-12-19,Wireless Earbuds,53,1544.46,11424
2025-12-20,Wireless Earbuds,70,1489.24,11354
2025-12-21,Wireless Earbuds,76,1487.15,11278
2025-12-22,Wireless Earbuds,54,1567.94,11224
2025-12-23,Wireless Earbuds,63,1509.71,11161
2025-12-24,Wireless Earbuds,62,1473.4,11099
2025-12-25,Wireless Earbuds,50,1500.21,11049
2025-12-26,Wireless Earbuds,50,1456.21,10999
2025-12-27,Wireless Earbuds,64,1532.73,11935
2025-12-28,Wireless Earbuds,66,1493.28,11869
2025-12-29,Wireless Earbuds,59,1455.32,11810
2025-12-30,Wireless Earbuds,60,1512.49,11750
2025-12-31,Wireless Earbuds,62,1508.89,11688
2026-01-01,Wireless Earbuds,31,1525.32,11657
2026-01-02,Wireless Earbuds,36,1504.36,11621
2026-01-03,Wireless Earbuds,41,1480.34,11580
2026-01-04,Wireless Earbuds,68,1147.32,11512
2026-01-05,Wireless Earbuds,51,1266.09,11461
2026-01-06,Wireless Earbuds,49,1480.27,11412
2026-01-07,Wireless Earbuds,44,1492.65,11368
2026-01-08,Wireless Earbuds,52,1497.71,11316
2026-01-09,Wireless Earbuds,43,1501.04,11273
2026-01-10,Wireless Earbuds,40,1439.12,12233
2026-01-11,Wireless Earbuds,56,1477.57,12177
2026-01-12,Wireless Earbuds,36,1441.0,12141
2026-01-13,Wireless Earbuds,40,1491.98,12101
2026-01-14,Wireless Earbuds,46,1531.34,12055
2026-01-15,Wireless Earbuds,56,1273.03,11999
2026-01-16,Wireless Earbuds,74,1183.78,11925
2026-01-17,Wireless Earbuds,65,1148.33,11860
2026-01-18,Wireless Earbuds,76,1131.38,11784
2026-01-19,Wireless Earbuds,41,1524.18,11743
2026-01-20,Wireless Earbuds,37,1539.89,11706
2026-01-21,Wireless Earbuds,45,1474.92,11661
2026-01-22,Wireless Earbuds,39,1452.02,11622
